"","Minute","Team","Margin"
"899",35,"NOP",-3
"900",36,"NOP",-18
"901",37,"NOP",-13
"902",38,"NOP",9
"903",39,"NOP",36
"904",40,"NOP",33
"905",41,"NOP",-18
"906",42,"NOP",2
"907",43,"NOP",28
"908",44,"NOP",12
"909",45,"NOP",-1
"910",46,"NOP",-23
"911",47,"NOP",8
"912",48,"NOP",0
"913",1,"HOU",3
"914",2,"HOU",19
"915",3,"HOU",2
"916",4,"HOU",30
"917",5,"HOU",-14
"918",6,"HOU",35
"919",7,"HOU",-11
"920",8,"HOU",-10
"921",9,"HOU",53
"922",10,"HOU",3
"923",11,"HOU",30
"924",12,"HOU",47
"925",13,"HOU",37
"926",14,"HOU",1
"927",15,"HOU",-7
"928",16,"HOU",-16
"929",17,"HOU",43
"930",18,"HOU",33
"931",19,"HOU",-7
"932",20,"HOU",-20
"933",21,"HOU",-24
"934",22,"HOU",-8
"935",23,"HOU",20
"936",24,"HOU",-4
"937",25,"HOU",18
"938",26,"HOU",-15
"939",27,"HOU",-22
"940",28,"HOU",2
"941",29,"HOU",-24
"942",30,"HOU",22
"943",31,"HOU",-9
"944",32,"HOU",51
"945",33,"HOU",-5
"946",34,"HOU",-31
"947",35,"HOU",10
"948",36,"HOU",-7
"949",37,"HOU",6
"950",38,"HOU",16
"951",39,"HOU",-16
"952",40,"HOU",39
"953",41,"HOU",-24
"954",42,"HOU",49
"955",43,"HOU",12
"956",44,"HOU",-25
"957",45,"HOU",39
"958",46,"HOU",-44
"959",47,"HOU",-19
"960",48,"HOU",14
"961",1,"DAL",4
"962",2,"DAL",-16
"963",3,"DAL",5
"964",4,"DAL",-27
"965",5,"DAL",-14
"966",6,"DAL",-30
"967",7,"DAL",32
"968",8,"DAL",32
"969",9,"DAL",15
"970",10,"DAL",28
"971",11,"DAL",-15
"972",12,"DAL",-3
"973",13,"DAL",10
"974",14,"DAL",0
"975",15,"DAL",3
"976",16,"DAL",-11
"977",17,"DAL",28
"978",18,"DAL",-26
"979",19,"DAL",16
"980",20,"DAL",6
"981",21,"DAL",-30
"982",22,"DAL",12
"983",23,"DAL",-25
"984",24,"DAL",-9
"985",25,"DAL",22
"986",26,"DAL",-42
"987",27,"DAL",-4
"988",28,"DAL",-19
"989",29,"DAL",-22
"990",30,"DAL",33
"991",31,"DAL",4
"992",32,"DAL",-6
"993",33,"DAL",-10
"994",34,"DAL",-16
"995",35,"DAL",-66
"996",36,"DAL",18
"997",37,"DAL",-21
"998",38,"DAL",12
"999",39,"DAL",3
"1000",40,"DAL",-28
"1001",41,"DAL",16
"1002",42,"DAL",20
"1003",43,"DAL",26
"1004",44,"DAL",4
"1005",45,"DAL",27
"1006",46,"DAL",0
"1007",47,"DAL",-50
"1008",48,"DAL",8
"1009",1,"PHX",-43
"1010",2,"PHX",-4
"1011",3,"PHX",-10
"1012",4,"PHX",8
"1013",5,"PHX",-18
"1014",6,"PHX",-18
"1015",7,"PHX",-20
"1016",8,"PHX",2
"1017",9,"PHX",-63
"1018",10,"PHX",-43
"1019",11,"PHX",14
"1020",12,"PHX",-43
"1021",13,"PHX",-41
"1022",14,"PHX",-40
"1023",15,"PHX",-33
"1024",16,"PHX",5
"1025",17,"PHX",13
"1026",18,"PHX",-32
"1027",19,"PHX",15
"1028",20,"PHX",-39
"1029",21,"PHX",-53
"1030",22,"PHX",-31
"1031",23,"PHX",-49
"1032",24,"PHX",32
"1033",25,"PHX",17
"1034",26,"PHX",4
"1035",27,"PHX",-4
"1036",28,"PHX",-73
"1037",29,"PHX",-50
"1038",30,"PHX",-13
"1039",31,"PHX",-1
"1040",32,"PHX",-24
"1041",33,"PHX",38
"1042",34,"PHX",16
"1043",35,"PHX",30
"1044",36,"PHX",18
"1045",37,"PHX",-26
"1046",38,"PHX",-20
"1047",39,"PHX",-20
"1048",40,"PHX",-43
"1049",41,"PHX",0
"1050",42,"PHX",-12
"1051",43,"PHX",-44
"1052",44,"PHX",-12
"1053",45,"PHX",-5
"1054",46,"PHX",-17
"1055",47,"PHX",17
"1056",48,"PHX",16
"1057",1,"NYK",-23
"1058",2,"NYK",-25
"1059",3,"NYK",-45
"1060",4,"NYK",-24
"1061",5,"NYK",20
"1062",6,"NYK",-28
"1063",7,"NYK",-39
"1064",8,"NYK",-20
"1065",9,"NYK",-46
"1066",10,"NYK",7
"1067",11,"NYK",-2
"1068",12,"NYK",-27
"1069",13,"NYK",-4
"1070",14,"NYK",18
"1071",15,"NYK",-10
"1072",16,"NYK",-2
"1073",17,"NYK",-36
"1074",18,"NYK",-32
"1075",19,"NYK",-2
"1076",20,"NYK",-44
"1077",21,"NYK",-30
"1078",22,"NYK",8
"1079",23,"NYK",-59
"1080",24,"NYK",8
"1081",25,"NYK",-14
"1082",26,"NYK",-1
"1083",27,"NYK",-37
"1084",28,"NYK",4
"1085",29,"NYK",-5
"1086",30,"NYK",-36
"1087",31,"NYK",3
"1088",32,"NYK",-4
"1089",33,"NYK",-15
"1090",34,"NYK",-5
"1091",35,"NYK",-54
"1092",36,"NYK",11
"1093",37,"NYK",-33
"1094",38,"NYK",-7
"1095",39,"NYK",-4
"1096",40,"NYK",-45
"1097",41,"NYK",-19
"1098",42,"NYK",-36
"1099",43,"NYK",5
"1100",44,"NYK",31
"1101",45,"NYK",-18
"1102",46,"NYK",-37
"1103",47,"NYK",9
"1104",48,"NYK",37
"1105",1,"ATL",-23
"1106",2,"ATL",-3
"1107",3,"ATL",-36
"1108",4,"ATL",-22
"1109",5,"ATL",-35
"1110",6,"ATL",-13
"1111",7,"ATL",-4
"1112",8,"ATL",-25
